"","Date","Mo and Lettenmeier","Ford and Labosier","Pendergrass et al.","Noguera et al.","Christian et al.","Osman et al.","et0_anomaly","eta_anomaly","temperature_anomaly","precipitation_anomaly","swc","et0","eta","temperature","precipitation","swc_p20","swc_p40","swc_p50","spei","sesr","eddi"
"1544",2005-03-24,0,0,0,0,0,0,-0.168362743942745,-0.175543778418845,0.688957162491871,0.744443243841301,3.262,0.315016446071991,0.222677474134094,1.689,0.587,1.74688,2.32676,2.6817,0.424195847952055,0.271487977043402,47
"1545",2005-03-25,0,0,0,0,0,0,-0.168362743942745,-0.175543778418845,0.688957162491871,0.744443243841301,3.407,0.931793255101083,0.390588011909699,1.166,0.135,1.74688,2.32676,2.6817,0.424195847952055,0.271487977043402,47
"1546",2005-03-26,0,0,0,0,0,0,-0.168362743942745,-0.175543778418845,0.688957162491871,0.744443243841301,3.468,1.06493006175277,0.307896864274927,-0.443,0.172,1.74688,2.32676,2.6817,0.424195847952055,0.271487977043402,67
"1547",2005-03-27,0,0,0,0,0,0,0.669442285927645,-0.506529113562157,1.28294006292065,-0.557082883574718,3.508,0.777341200548696,0.263573033022454,-2.156,0.136,1.81864,2.31248,2.5684,0.424195847952055,-0.737016143389794,67
"1548",2005-03-28,0,0,0,0,0,0,0.669442285927645,-0.506529113562157,1.28294006292065,-0.557082883574718,3.552,0.880313247879809,0.402141783318422,-1.78,1.115,1.81864,2.31248,2.5684,0.424195847952055,-0.737016143389794,67
"1549",2005-03-29,0,0,0,0,0,0,0.669442285927645,-0.506529113562157,1.28294006292065,-0.557082883574718,3.591,1.14851400620331,0.228713821600149,-2.844,0.01,1.81864,2.31248,2.5684,0.424195847952055,-0.737016143389794,67
"1550",2005-03-30,0,0,0,0,0,0,0.669442285927645,-0.506529113562157,1.28294006292065,-0.557082883574718,3.628,0.853356290285879,0.247406688746467,1.393,0.112,1.81864,2.31248,2.5684,0.424195847952055,-0.737016143389794,67
"1551",2005-03-31,0,0,0,0,0,0,0.669442285927645,-0.506529113562157,1.28294006292065,-0.557082883574718,3.69,1.00754455088202,0.286347791140012,1.476,0,1.81864,2.31248,2.5684,0.424195847952055,-0.737016143389794,67
"1552",2005-04-01,0,0,0,0,0,0,-0.548108046473728,-0.625084059175652,1.13727446621352,1.1500015900118,3.757,0.839679922016401,0.251140402185689,2.362,0,1.82116,2.21332,2.6837,0.424195847952055,-0.715432368055098,67
"1553",2005-04-02,0,0,0,0,0,0,-0.548108046473728,-0.625084059175652,1.13727446621352,1.1500015900118,3.824,0.93671784395532,0.28653650627557,2.537,1.681,1.82116,2.21332,2.6837,1.25671314698205,-0.715432368055098,19
"1554",2005-04-03,0,0,0,0,0,0,-0.548108046473728,-0.625084059175652,1.13727446621352,1.1500015900118,4.02,1.64441599281066,0.3655277083472,-2.817,0.014,1.82116,2.21332,2.6837,1.25671314698205,-0.715432368055098,19
"1555",2005-04-04,0,0,0,0,0,0,-0.548108046473728,-0.625084059175652,1.13727446621352,1.1500015900118,4.133,0.786943310605722,0.23920104327176,2.025,1.496,1.82116,2.21332,2.6837,1.25671314698205,-0.715432368055098,19
"1556",2005-04-05,0,0,0,0,0,0,-0.548108046473728,-0.625084059175652,1.13727446621352,1.1500015900118,4.233,0.162597287004562,0.318951828964521,0.716,8.846,1.82116,2.21332,2.6837,1.25671314698205,-0.715432368055098,19
"1557",2005-04-06,0,0,0,0,0,0,-1.05488436230922,1.56123290413667,0.811668395588267,1.25337068477227,4.404,1.39252480775695,0.713099572134029,1.667,1.651,2.12456,2.45012,3.1333,1.25671314698205,1.13430815516825,19
"1558",2005-04-07,0,0,0,0,0,0,-1.05488436230922,1.56123290413667,0.811668395588267,1.25337068477227,4.576,0.977721272652711,0.448930034040808,0.63,1.524,2.12456,2.45012,3.1333,1.25671314698205,1.13430815516825,19
"1559",2005-04-08,0,0,0,0,0,0,-1.05488436230922,1.56123290413667,0.811668395588267,1.25337068477227,7.356,0.0145389441718337,0.386037720472806,0.572,7.734,2.12456,2.45012,3.1333,1.25671314698205,1.13430815516825,19
"1560",2005-04-09,0,0,0,0,0,0,-1.05488436230922,1.56123290413667,0.811668395588267,1.25337068477227,15.538,0.321763456940795,0.650862502848691,0.271,1.703,2.12456,2.45012,3.1333,1.25671314698205,1.13430815516825,5
"1561",2005-04-10,0,0,0,0,0,0,-1.05488436230922,1.56123290413667,0.811668395588267,1.25337068477227,15.216,1.34043401238694,1.05295507312914,1.022,0.913,2.12456,2.45012,3.1333,1.29953656808358,1.13430815516825,5
"1562",2005-04-11,0,0,0,0,0,0,-1.55274070442077,2.01106250997912,-0.172792339024249,0.574665077189105,13.108,0.247631923112702,0.644421223755385,0.233,4.198,3.38408,5.23848,6.7699,1.29953656808358,0.757187896728733,5
"1563",2005-04-12,0,0,0,0,0,0,-1.55274070442077,2.01106250997912,-0.172792339024249,0.574665077189105,21.143,0.658618187480512,1.06060972648125,0.203,1.153,3.38408,5.23848,6.7699,1.29953656808358,0.757187896728733,5
"1564",2005-04-13,0,0,0,0,0,0,-1.55274070442077,2.01106250997912,-0.172792339024249,0.574665077189105,20.22,0.606454248099086,1.0962074791565,-2.311,2.826,3.38408,5.23848,6.7699,1.29953656808358,0.757187896728733,5
"1565",2005-04-14,0,0,0,0,0,0,-1.55274070442077,2.01106250997912,-0.172792339024249,0.574665077189105,14.33,0.691469521812099,0.840725275436004,-2.15,0.878,3.38408,5.23848,6.7699,1.29953656808358,0.757187896728733,5
"1566",2005-04-15,0,0,0,0,0,0,-1.55274070442077,2.01106250997912,-0.172792339024249,0.574665077189105,16.341,1.37658361289099,0.613371353683641,2.464,0.199,3.38408,5.23848,6.7699,1.29953656808358,0.757187896728733,5
"1567",2005-04-16,0,0,0,0,0,0,0.12891305480448,0.612320336705446,-0.909539162622684,-0.879908645005518,24.83,1.02227592508711,0.833340163158874,0.565,0.352,4.55324,10.90324,12.3638,1.29953656808358,0.754826889171716,47
"1568",2005-04-17,0,0,0,0,0,0,0.12891305480448,0.612320336705446,-0.909539162622684,-0.879908645005518,21.999,1.70575711997662,0.808116854152239,-0.432,0,4.55324,10.90324,12.3638,1.03177202168403,0.754826889171716,47
